,Cell Type 1,Cell Type 2,num_interactions
251,Vip-MET-5,Sst-MET-10,133
252,Sst-MET-12,Sst-MET-12,6493
253,Sst-MET-12,Sst-MET-12,6493
254,Sst-MET-12,Sst-MET-3,2767
255,Sst-MET-3,Sst-MET-12,2767
256,Sst-MET-12,Sst-MET-4,2451
257,Sst-MET-4,Sst-MET-12,2451
258,Sst-MET-12,Sst-MET-5,1117
259,Sst-MET-5,Sst-MET-12,1117
260,Sst-MET-12,Sst-MET-6,8132
261,Sst-MET-6,Sst-MET-12,8132
262,Sst-MET-12,Sst-MET-7,553
263,Sst-MET-7,Sst-MET-12,553
264,Sst-MET-12,Sst-MET-8,3039
265,Sst-MET-8,Sst-MET-12,3039
266,Sst-MET-12,Sst-MET-9,5464
267,Sst-MET-9,Sst-MET-12,5464
268,Sst-MET-12,Vip-MET-1,29
269,Vip-MET-1,Sst-MET-12,29
270,Sst-MET-12,Vip-MET-2,1422
271,Vip-MET-2,Sst-MET-12,1422
272,Sst-MET-12,Vip-MET-4,3923
273,Vip-MET-4,Sst-MET-12,3923
274,Sst-MET-12,Vip-MET-5,155
275,Vip-MET-5,Sst-MET-12,155
276,Sst-MET-3,Sst-MET-3,3637
277,Sst-MET-3,Sst-MET-3,3637
278,Sst-MET-3,Sst-MET-4,1947
279,Sst-MET-4,Sst-MET-3,1947
280,Sst-MET-3,Sst-MET-5,79
281,Sst-MET-5,Sst-MET-3,79
282,Sst-MET-3,Sst-MET-6,1522
283,Sst-MET-6,Sst-MET-3,1522
284,Sst-MET-3,Sst-MET-7,193
285,Sst-MET-7,Sst-MET-3,193
286,Sst-MET-3,Sst-MET-8,6894
287,Sst-MET-8,Sst-MET-3,6894
288,Sst-MET-3,Sst-MET-9,1527
289,Sst-MET-9,Sst-MET-3,1527
290,Sst-MET-3,Vip-MET-1,2810
291,Vip-MET-1,Sst-MET-3,2810
292,Sst-MET-3,Vip-MET-2,2734
293,Vip-MET-2,Sst-MET-3,2734
294,Sst-MET-3,Vip-MET-4,2831
295,Vip-MET-4,Sst-MET-3,2831
296,Sst-MET-3,Vip-MET-5,1621
297,Vip-MET-5,Sst-MET-3,1621
298,Sst-MET-4,Sst-MET-4,735
299,Sst-MET-4,Sst-MET-4,735
300,Sst-MET-4,Sst-MET-5,82
301,Sst-MET-5,Sst-MET-4,82
302,Sst-MET-4,Sst-MET-6,1337
303,Sst-MET-6,Sst-MET-4,1337
304,Sst-MET-4,Sst-MET-7,120
305,Sst-MET-7,Sst-MET-4,120
306,Sst-MET-4,Sst-MET-8,2295
307,Sst-MET-8,Sst-MET-4,2295
308,Sst-MET-4,Sst-MET-9,1622
309,Sst-MET-9,Sst-MET-4,1622
310,Sst-MET-4,Vip-MET-1,120
311,Vip-MET-1,Sst-MET-4,120
312,Sst-MET-4,Vip-MET-2,870
313,Vip-MET-2,Sst-MET-4,870
314,Sst-MET-4,Vip-MET-4,1468
315,Vip-MET-4,Sst-MET-4,1468
316,Sst-MET-4,Vip-MET-5,207
317,Vip-MET-5,Sst-MET-4,207
318,Sst-MET-5,Sst-MET-6,1276
319,Sst-MET-6,Sst-MET-5,1276
320,Sst-MET-5,Sst-MET-7,57
321,Sst-MET-7,Sst-MET-5,57
322,Sst-MET-5,Sst-MET-8,61
323,Sst-MET-8,Sst-MET-5,61
324,Sst-MET-5,Sst-MET-9,385
325,Sst-MET-9,Sst-MET-5,385
326,Sst-MET-5,Vip-MET-2,26
327,Vip-MET-2,Sst-MET-5,26
328,Sst-MET-5,Vip-MET-4,232
329,Vip-MET-4,Sst-MET-5,232
330,Sst-MET-6,Sst-MET-6,3519
331,Sst-MET-6,Sst-MET-6,3519
332,Sst-MET-6,Sst-MET-7,405
333,Sst-MET-7,Sst-MET-6,405
334,Sst-MET-6,Sst-MET-8,1188
335,Sst-MET-8,Sst-MET-6,1188
336,Sst-MET-6,Sst-MET-9,2861
337,Sst-MET-9,Sst-MET-6,2861
338,Sst-MET-6,Vip-MET-1,5
339,Vip-MET-1,Sst-MET-6,5
340,Sst-MET-6,Vip-MET-2,698
341,Vip-MET-2,Sst-MET-6,698
342,Sst-MET-6,Vip-MET-4,2294
343,Vip-MET-4,Sst-MET-6,2294
344,Sst-MET-6,Vip-MET-5,103
345,Vip-MET-5,Sst-MET-6,103
346,Sst-MET-7,Sst-MET-8,321
347,Sst-MET-8,Sst-MET-7,321
348,Sst-MET-7,Sst-MET-9,303
349,Sst-MET-9,Sst-MET-7,303
350,Sst-MET-7,Vip-MET-1,25
351,Vip-MET-1,Sst-MET-7,25
352,Sst-MET-7,Vip-MET-2,73
353,Vip-MET-2,Sst-MET-7,73
354,Sst-MET-7,Vip-MET-4,125
355,Vip-MET-4,Sst-MET-7,125
356,Sst-MET-7,Vip-MET-5,9
357,Vip-MET-5,Sst-MET-7,9
358,Sst-MET-8,Sst-MET-8,3305
359,Sst-MET-8,Sst-MET-8,3305
360,Sst-MET-8,Sst-MET-9,1632
361,Sst-MET-9,Sst-MET-8,1632
362,Sst-MET-8,Vip-MET-1,1285
363,Vip-MET-1,Sst-MET-8,1285
364,Sst-MET-8,Vip-MET-2,2360
365,Vip-MET-2,Sst-MET-8,2360
366,Sst-MET-8,Vip-MET-4,2373
367,Vip-MET-4,Sst-MET-8,2373
368,Sst-MET-8,Vip-MET-5,477
369,Vip-MET-5,Sst-MET-8,477
370,Sst-MET-9,Sst-MET-9,971
371,Sst-MET-9,Sst-MET-9,971
372,Sst-MET-9,Vip-MET-1,136
373,Vip-MET-1,Sst-MET-9,136
374,Sst-MET-9,Vip-MET-2,675
375,Vip-MET-2,Sst-MET-9,675
376,Sst-MET-9,Vip-MET-4,1851
377,Vip-MET-4,Sst-MET-9,1851
378,Sst-MET-9,Vip-MET-5,139
379,Vip-MET-5,Sst-MET-9,139
380,Vip-MET-1,Vip-MET-1,331
381,Vip-MET-1,Vip-MET-1,331
382,Vip-MET-1,Vip-MET-2,1092
383,Vip-MET-2,Vip-MET-1,1092
384,Vip-MET-1,Vip-MET-4,324
385,Vip-MET-4,Vip-MET-1,324
386,Vip-MET-1,Vip-MET-5,546
387,Vip-MET-5,Vip-MET-1,546
388,Vip-MET-2,Vip-MET-2,375
389,Vip-MET-2,Vip-MET-2,375
390,Vip-MET-2,Vip-MET-4,731
391,Vip-MET-4,Vip-MET-2,731
392,Vip-MET-2,Vip-MET-5,489
393,Vip-MET-5,Vip-MET-2,489
394,Vip-MET-4,Vip-MET-4,629
395,Vip-MET-4,Vip-MET-4,629
396,Vip-MET-4,Vip-MET-5,566
397,Vip-MET-5,Vip-MET-4,566
398,Vip-MET-5,Vip-MET-5,225
399,Vip-MET-5,Vip-MET-5,225
